,0
0,-1.6
1,-1.4
2,-1.6
3,-1.2
4,-0.6
5,-1.4
6,-1.6
7,-2.2
8,-1.4
9,-1.0
10,-0.6
11,-1.2000000000000002
12,-1.4
13,-1.0
14,-0.5999999999999999
15,-1.4000000000000001
16,-0.8
17,-0.7999999999999999
18,-0.8
19,-1.2000000000000002
20,-1.8
21,0.8
22,-1.4000000000000001
23,-2.0
24,-0.19999999999999996
25,-1.4
26,-1.0
27,-2.0
28,-1.4
29,-1.4
30,-0.3999999999999999
31,-1.4
32,-1.6
33,-1.8
34,-1.2
35,-0.8
36,-0.6
37,-0.5999999999999999
38,-1.4
39,-0.8
40,0.40000000000000013
41,-1.4
42,-1.4000000000000001
43,-2.4
44,-1.0
45,-1.4
46,-1.8
47,0.3999999999999999
48,-1.2
49,-1.2
50,-1.0
51,0.3999999999999999
52,-0.19999999999999996
53,-1.0
54,-0.3999999999999999
55,-2.0
56,-2.0
57,-1.2000000000000002
58,-1.4
59,-1.2
60,-2.2
61,-1.2
62,-2.0
63,-1.0
64,-1.0
65,-1.8
66,-0.3999999999999999
67,-1.0
68,-0.3999999999999999
69,-1.2
70,-1.6
71,-1.2
72,-0.7999999999999999
73,-1.0
74,-1.8
75,-0.8
76,-1.8
77,-1.6
78,-0.19999999999999996
79,-0.8
80,-0.19999999999999996
81,-0.6
82,-1.8
83,-1.4
84,-0.3999999999999999
85,-0.8
86,-2.2
87,-1.2
88,-1.6
89,-0.6
90,0.8
91,-0.3999999999999999
92,-0.8
93,-0.3999999999999999
94,0.3999999999999999
95,-0.8
96,-1.2
97,-1.0
98,-1.4
99,-1.6
100,-1.8
101,-1.6
102,-1.2
103,-0.19999999999999996
104,-1.1102230246251565e-16
105,-1.2
106,-1.4
107,-1.4000000000000001
108,-0.8
109,-1.6
110,-1.8
111,-1.2
112,-1.2
113,-1.0
114,-0.5999999999999999
115,-1.0
116,-1.8
117,-1.8
118,-1.4
119,-0.5999999999999999
120,-1.2
121,-1.8
122,-1.4
123,-1.4
124,-1.2
125,-1.2
126,-1.4
127,-2.0
128,-1.0
129,-1.2
130,-0.8
131,-1.6
132,-1.4
133,0.6000000000000001
134,-1.6
135,-1.4
136,-0.8
137,-1.4
138,-0.29999999999999993
139,-1.2
140,-1.4
141,-1.0
142,-0.6
143,-0.8
144,0.0
145,-1.2
146,-1.0
147,-0.3999999999999999
148,-1.2
149,-2.0
150,-0.19999999999999996
151,-0.8
152,-1.6
153,-1.2
154,-0.8
155,-1.6
156,-0.6
157,-1.6
158,-2.0
159,-1.2
160,-0.8
161,-0.8
162,-0.8
163,-2.0
164,-1.2
165,-1.8
166,-2.0
167,-0.5999999999999999
168,-1.2
169,-1.6
170,-1.0
171,-1.4
172,-1.0
173,-1.4000000000000001
174,-1.4
175,-2.0
176,-1.4000000000000001
177,-1.0
178,-0.5999999999999999
179,-0.6
180,-1.0
181,0.19999999999999996
182,-1.2
183,0.3999999999999999
184,-1.8
185,-1.6
186,-1.8
187,-0.6
188,0.19999999999999996
189,-2.4
190,-0.6
191,-1.2
192,-2.2
193,-1.0
194,-0.6
195,-1.0
196,-1.6
197,-1.6
198,-1.2
199,-1.6
200,-1.4
201,-0.5999999999999999
202,-1.6
203,-1.0
